Symbol	Description
DTYS	iPath US Treasury 10 Yr Bear ET
DUG	ProShares Trust
DUST	Direxion Daily Gold Miners Bear
DVY	Ishares Dow Jones Select Dividend Index Fund
DWM	WISDOMTREE DIEFA
DWX	SPDR Index Fund
DXD	ProShares Trust
DXJ	WISDOMTREE JAP TDIV
DXR	Daxor Corporation
DYY	DB COMMODITY DL ETN
DZK	DEVELOPED MKTS BULL3
DZZ	DB GOLD DBL SH ETN
EAD	Wells Fargo Advantage Income Opportunities Fund
EAG	American Defense Systems Inc
EAPS	Pax MSCI EAFE ESG Index ETF
EAR	HearUSA Inc.
EBK	Morgan Stanley
ECF	Ellsworth Convertible Growth and Income Fund Inc.
ECH	ISHARES MSCI CHILE
ECNS	iShares MSCI China Small Cap In
ECON	Emerging Global Shares Dow Jone
EDC	EMERGING MKTS BULL3
EDV	Vanguard World Funds
EDZ	EMERGING MKTS BEAR3X
EEB	Claymore Exchange-Traded Fund Trust
EEE	Evergreen Energy Inc
EEG	EMERGING GLOBAL SHS
EEH	ELEMENTS LINKED TO THE SPECTRU
EEM	Ishares Msci Emerging Index Fund
EEN	Claymore Exchange-Traded Fund Trust 2
EEO	EMERGING GLOBAL SHS
EES	WisdomTree Trust
EET	Citigroup Funding Inc.
EEV	ProShares Trust
EFA	Ishares Msci Eafe Index Fund
EFG	Ishares
EFN	EMERGING GLOBAL SHS
EFO	PROSHARES ULTRA EAFE
EFU	ProShares Trust
EFV	Ishares
EFZ	ProShares Trust
EGAS	Gas Natural Inc.
EGI	Entree Gold Inc
EGPT	MARKET VECTORS EGYPT INDEX ETF
EGT	Entertainment Gaming Asia Incorporated
EGX	Engex Inc.
EIA	Eaton Vance California Municipal Bond Fund II
EIDO	Ishares Msci Indonesia Investab
EIM	Eaton Vance Municipal Bond Fund
EIO	Eaton Vance Ohio Municipal Bond Fund
EIP	Eaton Vance Pennsylvania Municipal Bond Fund
EIRL	Ishares Msci Capped Investable
EIS	ISHARES MSCI ISRAEL
EIV	Eaton Vance Municipal Bond Fund II
EKH	Merrill Lynch Europe 2001 HOLDRS
ELC	Eastern Light Capital Incorporated
ELD	WisdomTree Emerging Markets Loc
ELR	SPDR Series Trust
EMAN	eMagin Corporation
EMB	ISHARES JP MORGAN
EMGX	Global X Russell Emerging Marke
EMI	Eaton Vance Michigan Municipal Income Trust
EMJ	Eaton Vance New Jersey Municipal Bond Fund
EML	Eastern Company (The)
EMLB	iPath Long Enhanced MSCI Emergi
EMLC	Market Vectors Emerging Markets
EMM	SPDR Series Trust
EMSA	iPath Short Enhanced MSCI Emerg
EMT	EMERGING GLOBAL SHS
EMVX	Global X Russell Emerging Marke
ENA	Enova Systems Inc.
END	Endeavor International Corporation
ENX	Eaton Vance New York Municipal Bond Fund
ENY	Claymore Exchange-Traded Fund Trust 2
ENZL	iShares MSCI New Zealand Invest
EPHE	iShares MSCI Philippines Invest
EPI	WISDOMTREE INDIA
EPM	Evolution Petroleum Corporation Inc.
EPOL	ISHARES MSCI POLAND INVESTABLE
EPP	Ishares Msci Pacific Ex-japan Index Fund
EPS	WisdomTree Trust
EPU	ISHARES MSCI
EPV	PROSHARES
EQL	Structured Product Citigroup Funding Inc
ERC	Wells Fargo Advantage Multi-Sector Income Fund
ERH	Wells Fargo Advantage Utilities and High Income Fund
ERI	EMRISE CORPORATION
ERO	IPATH EUR/USD EXCHAN
ERUS	iShares MSCI Russia Capped Inde
ERX	ENERGY BULL 3X
ERY	ENERGY BEAR 3X
ESA	Energy Services Acquisition Corp
ESA.U	Energy Services Acquisition Corp
ESA.W	Energy Services Acquisition Corp
ESP	Espey Mfg. & Electronics Corp.
ESR	ISHARES
ETF	Aberdeen Emerging Markets Telecommunications and Infrastructur
EU	WISDOMTREE DREYFUS
EUM	ProShares Trust
EUO	PROSHS ULTRASHT EURO
EUSA	Ishares Msci Usa Index Fund
EVBN	Evans Bancorp Inc.
EVI	EnviroStarm Inc.
EVJ	Eaton Vance New Jersey Municipal Income Trust
EVK	Ever-Glory International Group Inc.
EVM	Eaton Vance California Municipal Bond Fund
EVO	Eaton Vance Ohio Municipal Income Trust
EVP	Eaton Vance Pennsylvania Municipal Income Trust
EVV	Eaton Vance Limited Duration Income Fund
EVX	Market Vectors ETF Trust
EVY	Eaton Vance New York Municipal Income Trust
EWA	iShares MSCI Australia Index Fund
EWAC	Rydex MSCI All Country World [A
EWC	iShares MSCI Canada Index Fund
EWD	Ishares Msci Sweden Index Fund
EWEF	Rydex Msci Eafe Equal Weight Et
EWEM	Rydex Msci Emerging Markets Equ
EWG	iShares MSCI Germany Index Fund
EWH	iShares MSCI Hong Kong Index Fund
EWI	Ishares Msci Italy Index Fund
EWJ	Ishares Msci Japan Index Fund
EWK	iShares MSCI Belgium Index Fund
