Symbol	Description
ELY.V	Ely Gold & Minerals Inc
EM.H.V	Emperor Minerals Ltd Com
EMB.V	Emberclear Inc
EMG.V	Emergeo Solutions Worldwide Inc
EMI.V	Electric Metals Inc.
EMM.V	Emedia Networks International C
EMR.V	Emgold Mining Corporation
EMX.V	Eurasian Minerals Inc.
ENA.V	Enablence Technologies Inc
ENG.V	Energulf Resources Inc.
ENP.V	Enpar Technologies Inc.
ENS.V	Enseco Energy Services Corp
ENV.V	Enssolutions Group Inc.
ENW.V	Enwave Corporation
EOR.V	Enhanced Oil Resources Inc.
EOX.V	Euromax Resources Ltd
EPC.V	Empire Mining Corporation
EPL.V	Eagle Plains Resources Ltd.
EPM.V	Empire Capital Corp
EPO.V	Encanto Potash Corp
EPT.V	Empower Technologies Corporatio
EPX.H.V	Eshippers Management Ltd.
EPZ.V	Esperanza Silver Corporation
EQT.V	Equitas Resources Corp
ERC.V	Emeri
ERG.V	Ergoresearch Ltd.
ERI.V	Exile Resources Inc
ERL.H.V	Earl Resources Limited
ESE.V	Estec Systems Corp.
ESK.V	Eskay Mining Corp
ESO.V	Eso Uranium Corp.
ESR.V	Era Carbon Offsets Ltd
EST.V	Estrella Gold Corporation
ESV.V	Esi Environmental Sensors Inc
ETF.V	Eastfield Resources Ltd.
ETR.V	Eacom Timber Corporation
EUK.V	Eureka Resources Inc.
EUO.V	Eurocontrol Technics Inc.
EV.V	Erin Ventures Inc
EVM.V	Evrim Resources Corp
EVR.V	Everton Resources Inc.
EW.V	East West Petroleum Corp Com
EWD.V	Eaglewood Energy Inc
EWK.V	Earthworks Industries Inc.
EWS.V	Environmental Waste Internation
EXA.V	Communications Dvr Inc
EXC.PR..V	ESSEX ANGEL CAPITAL INC
EXO.V	Explorator Resources Inc.
EXQ.H.V	Exchequer Resource Com Npv
EXS.V	Explor Resources Inc.
EXU.V	Expedition Mng Inc
EY.V	Extenway Solutions Inc.
EYE.A.V	Eyelogic Systems Inc
EZ.V	Encore Renaissance Resources Co
FAB.V	Flying A Petroleum Ltd
FAM.V	Family Memorials Inc
FAU.V	Fire River Gold Corp.
FAX.V	Fox Resources Ltd
FBF.V	Fab Form Industries Ltd
FBX.V	First Bauxite Corp
FCV.V	Focus Ventures Ltd
FDC.V	Forum Uranium Corp.
FDN.V	Foundation Resources Inc
FEB.V	First Venture Technologies Corp
FEC.V	Fairwest Energy Corporation
FEN.V	Forent Energy Inc
FEO.V	Oceanic Iron Ore Corp  Com
FEX.V	Fjordland Exploration Inc
FFM.V	Formation Fluid Management Inc
FFP.V	Consolidated Firstfund Capital
FFX.V	Fairfax Capital Inc
FGC.V	Frontline Gold Corporation [Tie
FGE.V	Forest Gate Energy Inc
FI.V	First Idaho Resources Inc.
FIS.V	Fission Energy Corp
FIX.V	Falcon Ventures International I
FLA.V	Fairmile Goldtech Inc.
FLK.V	Falkirk Resources Corp
FLO.PR..V	FLOW ENERGY LTD
FLT.V	Forcelogix Tech Inc
FLX.V	Fieldex Exploration Inc.
FMA.H.V	First Metal Inc  Com
FMG.V	First Mexican Gold Corp
FMM.V	Full Metal Minerals Ltd.
FMR.V	Fairmont Resources Inc
FMS.V	Focus Metals Inc
FNC.V	Fancamp Exploration Ltd.
FNR.V	49 North Resource Fund Inc.
FO.V	Falcon Oil & Gas Ltd
FOM.V	Foran Mining Corporation
FOX.V	Fiber Optic Systems Technology
FPV.V	First Pursuit Ventures Ltd
FPX.V	First Point Minerals Corp
FRD.V	Firebird Capital Partners Inc
FRI.V	Freeport Resources Inc.
FRN.V	Feronia Inc
FRN.WT.V	Feronia Inc New
FRV.H.V	Frv Media Inc
FS.V	First Star Resources Inc
FSH.V	Agrimarine Holdings Inc
FSI.V	Fsi Energy Services Inc.
FSN.V	Franchise Services Of North Ame
FST.V	Fortress Minerals Corp.
FSW.V	Fireswirl Technologies Inc
FTE.V	Forterra Environmental Corp
FTI.V	Fti Foodtech International Inc.
FTR.V	Firesteel Resources Inc.
FUL.PR..V	FULLER CAPITAL CORP
FUT.V	Kidsfutures Inc.
FV.V	Firestone Ventures Inc.
FVR.V	Finavera Renewables Inc.
FWK.V	Liuyang Fireworks Limited
FXX.H.V	Fmx Ventures Inc.
FYI.V	Galena Capital Corp
FYL.V	Finlay Minerals Ltd
GA.V	Golconda Resources Ltd.
GAE.V	Greenangel Energy Corp
GAL.V	Galantas Gold Corporation
GAP.V	Pharmagap Inc.
GAR.H.V	Garneau Inc
GAU.V	Garrison International Ltd.
GAV.V	Galvanic Applied Sciences Inc
GAX.V	Galahad Metals Inc
GAZ.V	Fronsac Ca
GB.V	Ginger Beef Corporation
GBB.V	Gold Bullion
GBK.V	Goldbrook Ventures Inc
GBN.V	Golden Band Resources Inc.
GBR.V	Great Bear Resources Ltd
GCC.V	Golden Cariboo Resources Ltd.
GCH.H.V	Gtech International Resources L
GCN.V	Goldcliff Resource Corporation
GCP.V	Goldminco Corporation
