Symbol	Description
DYH.IDX	DYNAMIC TOP 200 INTELL
DYI.IDX	AMEX Dynamic Market Intellidex
DYO.IDX	AMEX Dynamic Otc Intellidex
DZC.IDX	DYNAMIC SOFTWARE INTELLIDEX
DZE.IDX	DYNAMIC SEMICONDUCTOR INTELLIDE
DZF.IDX	DYNAMIC FOOD & BEVERAGE INTELLI
DZH.IDX	DYNAMIC HARDWARE & CO ELEC IN
DZL.IDX	DYNAMIC LEISURE&ENTERTAINMENT I
DZM.IDX	DYNAMIC MEDIA INTELLIDEX
DZN.IDX	DYNAMIC NETWORKING INTELLIDEX
DZO.IDX	DYNAMIC BIOTECH & GENOME INTELL
DZR.IDX	DYNAMIC PHARMACEUTICAL INTELLID
EAFE.IDX	MSCI EAFE
EBL.IDX	AMEX
EBT.IDX	FT AMEX BIOTECH IND IOPV
ECO.IDX	WH CLEAN ENERGY
EED.IDX	CLAYMORE BRIC ETF IOPV
EFH.IDX	AMEX FRO SETTLEMENT C
EFK.IDX	INTL PROPELS
EKI.IDX	Europe 2001 Holdrs Index
EMI.IDX	EMERGING MARKETS INDEX
EMX.IDX	AMEX Major 8 European Index
EPX.IDX	SIG OIL EXPLORATION & PRODUCERS
ESX.IDX	Select European 50 Index
EUR.IDX	FTSE Eurotop 100 Index
EUV.IDX	AMEX Eurotop 100 Index
EUX.IDX	Major 11 International Index
EVZ.IDX	CBOE EURO CURR VOL IND
EXQ.IDX	CBOE EXCHANGE INDEX
EXY.IDX	EURO INDEX
EZB.IDX	DYNAMIC BS MT INTELLIDEX
EZF.IDX	DYNAMIC FINCL INTELLIDEX
EZK.IDX	DYNAMIC ENRGY INTELLIDEX
EZL.IDX	DYNAMIC INDUS INTELLIDEX
EZS.IDX	DYNAMIC CN ST INTELLIDEX
EZV.IDX	DYNAMIC TECHN INTELLIDEX
EZX.IDX	DYNAMIC HLTHC INTELLIDEX
EZZ.IDX	DYNAMIC CN DS INTELLIDEX
FBV.IDX	POWERSHRS DB G10 FD IOPV
FTSA.IDX	FTSE 350
FTSE.IDX	FTSE 100
FTSM.IDX	FTSE 250
FUM.IDX	ISE REVERE NATURAL GAS INDEX
FVX.IDX	5-YEAR TREASURY NOTE
GBK.IDX	MORGAN STANLEY GLBL BSKT CPN
GBS.IDX	AMEX GBS INDEX
GDM.IDX	AMEX GOLD MINERS
GDOW.IDX	Dow Jones Global Industrial Average
GLD.IDX	Gold Index
GLI.IDX	Merrill Lynch Glbl Market Index
GMI.IDX	MKT VECTOR GOLD MIN IOPV
GNX.IDX	GSCI Spot Return
GOX.IDX	CBOE GOLD INDEX
GVX.IDX	Goldman Sachs Livestock Sub Index
GVZ.IDX	GSTI SERVICES INDEX SETTLEMENT
GWI.IDX	Merrill Lynch Sel Sector Spdr
HCX.IDX	S& P HEALTHCARE INDEX
HDN.IDX	FT DJ INTERNET INDX IOPV
HDX.IDX	FT DB STRATEGIC VAL IOPV
HEM.IDX	AMEX FRO SETTLEMENT HD
HGX.IDX	Phlx Hsg Sector Index
HHI.IDX	Merrill Lynch Internet Holders
HIGA.IDX	AMEX NEW HIGHS
HIGD.IDX	OTC NEW HIGHS
HIGN.IDX	NYSE NEW HIGHS
HIGQ.IDX	NASD NEW HIGHS
HKO.IDX	AMEX Hong Kong Opt Flt Rt Index
HKT.IDX	HKT INDEX
HKX.IDX	AMEX Hong Kong 30 Index
HMO.IDX	AMEX M S Healthcare Payor Index
HMV.IDX	MORGAN STANLEY HEALTHCARE PAYOR
HSI.IDX	Hang Seng
HSS.IDX	AMEX INDICATIVE VALUE FOR WACHO
HUI.IDX	AMEX Gold Bugs Index
HUV.IDX	AMEX GOLD BUGS INDEX FINAL SETT
HVX.IDX	MKT VECTOR ENV SERV IOPV
HWI.IDX	AMEX Computer Hardware Index
HWO.IDX	COMPUTER HARDWARE INDEX FNL SET
HXC.IDX	USX CHINA INDEX
IBH.IDX	Biotech Holdrs Index
ICK.IDX	ISE CHINDIA INDEX
IDP.IDX	AMEX FRO SETTLEMENT INTC
IDX.IDX	S&P 400 Midcap Index
IEB.IDX	DYNAMIC LARGE CAP INTELL
IEK.IDX	DYNAMIC MID CAP INTELL
IEY.IDX	DYNAMIC SMALL CAP INTELL
IIB.IDX	SEMI INDS PLUS
IIG.IDX	S&P BARRA GROWTH
III.IDX	CBOE INTERNET INDEX
IIV.IDX	S&P BARRA VALUE
IIX.IDX	AMEX Interactive Week Intr New
ILH.IDX	Dynamic Lg Cap Gr Intellidex
ILJ.IDX	Dynamic Mid Cp Gr Intellidex
ILK.IDX	Dynamic Sml Cp Gr Intellidex
ILP.IDX	Dynamic Mid Cp Valu Intellidex
ILR.IDX	DYNAMIC AGR GRWTH INTLDX
ILU.IDX	DYNAMIC DEEP VAL INTELDX
ILW.IDX	Dynamic Lg Cp Valu Intellidex
ILZ.IDX	Dynamic Sml Cp Valu Intellidex
INDS.IDX	Nasdaq Industrial
INSR.IDX	Nasdaq Inurance
IPH.IDX	Pharmaceutical Holdrs Index
IQX.IDX	S&P 500 EQUAL WEIGHT
IQZ.IDX	S&P 1000
IRH.IDX	Retail Holdrs Index
IRX.IDX	13-WEEK TREASURY BILL
ITH.IDX	Telecom Holdrs Index
IUI.IDX	S& P IURANCE INDEX
IUX.IDX	Russell 2000 Stock Index
IWH.IDX	Wireless Holdrs Index
IXB.IDX	Materials Select Sector Index
IXBK.IDX	NDAQ BANK
IXCO.IDX	Nasdaq Computer
IXD.IDX	Industrial 15 Index
IXE.IDX	The Energy Select Sector Index
IXF.IDX	Nasdaq Financial 100
IXFN.IDX	NDAQ OTHER FINANCE
IXI.IDX	Industrial Select Sector Index
IXID.IDX	NDAQ INDUSTRIAL
IXIS.IDX	NDAQ IURANCE
IXK.IDX	NDAQ COMPUTER
IXM.IDX	Financial Select Sector Index
IXR.IDX	Consumer Staples Select Sector Index
IXT.IDX	Technology Select Sector Index
IXTC.IDX	Nasdaq Telecommunications
IXTR.IDX	NDAQ TRAPORTATION
IXU.IDX	Utilities Select Sector Index
IXUT.IDX	NDAQ TELECOMMUNICATIO
IXV.IDX	Healthcare Select Sector Index
IXY.IDX	Consumer Discretionary Select Sector Index
IXZ.IDX	ISE 250 INDEX
JBV.IDX	NYSE ARCA MINI-BROKER/DEALER  I-
JKC.IDX	ML LONG/SHRT III
JKSE.IDX	Jakarta Composite
JLO.IDX	ISE US REG BANK INDEX
JPN.IDX	AMEX Japan Index
JPV.IDX	AMEX JAPAN INDEX FINAL SETTLEME
KBK.IDX	NYSE ARCA MINI-PHARMACEUTICAL I-
KDY.IDX	AMEX HONG KONG INDEX FLOAT RATE
KIX.IDX	Phlx Kbw Insurance Index
KLX.IDX	MKT VECTORS STEEL IOPV
KRX.IDX	KBW REGIONAL BANKING INDEX
KS11.IDX	Seoul Composite
KSX.IDX	KBW CAP MRKTS
KTB.IDX	CAPITAL MARKETS BOND INDEX
KTE.IDX	CAPITAL MARKETS EQUITY INDEX
KTL.IDX	CAPITAL MARKETS LIQUIDITY INDEX
KTS.IDX	CAPITAL MARKETS INDEX
LBGB.IDX	LEHMAN BOND GLOBAL COMP
LBUS.IDX	LEHMAN BOND US COMP
LIV.IDX	AMEX FRO SETTLEMENT JPM
LOWA.IDX	AMEX NEW LOWS
LOWD.IDX	OTC NEW LOWS
LOWN.IDX	NYSE NEW LOWS
LOWQ.IDX	NASD NEW LOWS
LPA.IDX	AMEX FRO SETTLEMENT XLE
M1HA.IDX	1-Month Highs AMEX
M1HD.IDX	1-Month Highs OTCBB
M1HE.IDX	1-Month Highs ETFS
M1HH.IDX	1-Month Highs Price gt $10
M1HL.IDX	1-Month Highs Price lt $10
M1HN.IDX	1-Month Highs NYSE
M1HQ.IDX	1-Month Highs NASDAQ
M1HU.IDX	1-Month Highs Volume lt 100k
M1HV.IDX	1-Month Highs Volume gt 100k
M1HX.IDX	1-Month Highs Overall
M1LA.IDX	1-Month Lows AMEX
M1LD.IDX	1-Month Lows OTCBB
M1LE.IDX	1-Month Lows ETFS
M1LH.IDX	1-Month Lows Price gt $10
M1LL.IDX	1-Month Lows Price lt $10
M1LN.IDX	1-Month Lows NYSE
M1LQ.IDX	1-Month Lows NASDAQ
M1LU.IDX	1-Month Lows Volume lt 100k
M1LV.IDX	1-Month Lows Volume gt 100k
M1LX.IDX	1-Month Lows Overall
M3HA.IDX	3-Month Highs AMEX
M3HD.IDX	3-Month Highs OTCBB
M3HE.IDX	3-Month Highs ETFS
M3HH.IDX	3-Month Highs Price gt $10
M3HL.IDX	3-Month Highs Price lt $10
M3HN.IDX	3-Month Highs NYSE
M3HQ.IDX	3-Month Highs NASDAQ
M3HU.IDX	3-Month Highs Volume lt 100k
M3HV.IDX	3-Month Highs Volume gt 100k
M3HX.IDX	3-Month Highs Overall
M3LA.IDX	3-Month Lows AMEX
M3LD.IDX	3-Month Lows OTCBB
M3LE.IDX	3-Month Lows ETFS
M3LH.IDX	3-Month Lows Price gt $10
M3LL.IDX	3-Month Lows Price lt $10
M3LN.IDX	3-Month Lows NYSE
M3LQ.IDX	3-Month Lows NASDAQ
M3LU.IDX	3-Month Lows Volume lt 100k
M3LV.IDX	3-Month Lows Volume gt 100k
M3LX.IDX	3-Month Lows Overall
M6HA.IDX	6-Month Highs AMEX
M6HD.IDX	6-Month Highs OTCBB
M6HE.IDX	6-Month Highs ETFS
M6HH.IDX	6-Month Highs Price gt $10
M6HL.IDX	6-Month Highs Price lt $10
M6HN.IDX	6-Month Highs NYSE
M6HQ.IDX	6-Month Highs NASDAQ
M6HU.IDX	6-Month Highs Volume lt 100k
M6HV.IDX	6-Month Highs Volume gt 100k
M6HX.IDX	6-Month Highs Overall
M6LA.IDX	6-Month Lows AMEX
M6LD.IDX	6-Month Lows OTCBB
M6LE.IDX	6-Month Lows ETFS
M6LH.IDX	6-Month Lows Price gt $10
M6LL.IDX	6-Month Lows Price lt $10
M6LN.IDX	6-Month Lows NYSE
M6LQ.IDX	6-Month Lows NASDAQ
M6LU.IDX	6-Month Lows Volume lt 100k
M6LV.IDX	6-Month Lows Volume gt 100k
M6LX.IDX	6-Month Lows Overall
MAHA.IDX	12-Month Highs AMEX
MAHD.IDX	12-Month Highs OTCBB
MAHE.IDX	12-Month Highs ETFS
MAHH.IDX	12-Month Highs Price gt $10
MAHL.IDX	12-Month Highs Price lt $10
MAHN.IDX	12-Month Highs NYSE
MAHQ.IDX	12-Month Highs NASDAQ
MAHU.IDX	12-Month Highs Volume lt 100k
MAHV.IDX	12-Month Highs Volume gt 100k
MAHX.IDX	12-Month Highs Overall
MALA.IDX	12-Month Lows AMEX
MALD.IDX	12-Month Lows OTCBB
MALE.IDX	12-Month Lows ETFS
MALH.IDX	12-Month Lows Price gt $10
MALL.IDX	12-Month Lows Price lt $10
MALN.IDX	12-Month Lows NYSE
MALQ.IDX	12-Month Lows NASDAQ
MALU.IDX	12-Month Lows Volume lt 100k
MALV.IDX	12-Month Lows Volume gt 100k
MALX.IDX	12-Month Lows Overall
MBM.IDX	Fincl Svcs Bridges Baskt Value
MBO.IDX	CHINESE MPS BSKT
MDO.IDX	MID OPN/CLS AVGE
