Symbol	Description
COX.WT.TO	Coxe Commodity Strategy Fund Cl
CP.TO	Can Pacific Rys Com Npv
CPA.UN.TO	Capital Power Inc L.P.
CPD.TO	Claymore S&P/Tsx C Common Unit
CPD.A.TO	Claymore S&P/Tsx C Advisor Clas
CPG.TO	Crescent Pt Energy Corp
CPM.UN.TO	Copernican Intl Pr Trust Unit
CPN.TO	Carpathian Gold In Com Npv
CPT.TO	Coalspur Mines Ltd Ord
CPX.TO	Capital Power Corporation
CPX.PR.A.TO	CAPITAL POWER CORPORATION
CQE.TO	Cequence Energy Ltd
CR.TO	Crew Energy Inc
CRA.TO	Cresent Gold Ltd
CRG.TO	Corona Gold Corp Com Npv
CRJ.TO	Claude Resources Com Npv
CRJ.WT.TO	Claude Resources Inc. Wts
CRK.TO	New Crocodile Gold
CRP.TO	Ceres Global Ag Corp
CRQ.TO	Claymoretfs Ftse Rafi Canadian
CRQ.A.TO	Claymore Cnd Fundmntl Indx Etf
CRR.DB.TO	Crombie Real Estate Invest Trus
CRR.DB.B.TO	Crombie Reit 6.25 Db
CRR.DB.C.TO	Crombie Reit 5.75 Db
CRR.UN.TO	Crombie Real Estate Investment
CRT.UN.TO	Citadel Smart Fd
CRW.UN.TO	Cinram International Inc Fd
CRY.TO	Cryptologic Ltd Ord Npv
CS.TO	Capstone Mining Corp
CS.DB.TO	Capstone Mining Corp 5% Debs
CSA.TO	Comm Solutions Inc Com Npv
CSB.UN.TO	Canadian Banc Cap Secur Trust
CSF.TO	Rentcash Inc
CSH.DB.A.TO	Chartwell Seniors Housing Real E
CSH.UN.TO	Chartwell Seniors Trust Units
CSI.TO	Colossus Mineral Inc[The Co.]
CSI.WT.TO	Colossus Mineral Inc[The Co.]
CSS.TO	Contrans Group Inc
CSU.TO	Constellation Software Inc
CSY.TO	Can-60 Income Corp Non-Voting S
CTA.TO	Crocotta Energy Inc Com Npv
CTC.TO	Canadian Tire Corp
CTC.A.TO	Canadian Tire Corp Ltd Cl A Nv
CTF.UN.TO	Citadel Income Fund
CTF.WT.TO	Citadel Income Fund
CTL.TO	Catalyst Paper Cor Com Npv
CTU.A.TO	Le Chateau Inc
CTY.TO	Calian Technologie Com Npv
CU.TO	Cdn Utilities Class'A'Com Non-V
CU.PR.A.TO	Canadian Utilities 2nd Pfd W
CU.PR.B.TO	Canadian Utilities 2nd Pfd X
CU.X.TO	Cdn Utilities Class'B'Com Npv
CUF.DB.TO	Cominar Real Estate Investment
CUF.DB.B.TO	Cominar Real Estate Investment T
