Symbol	Description
F1E.SI	Low Keng Huat (singapore) Ltd
F1F.SI	Daiwa Ftse Shariah Japan 100
F1XW.SI	Mer Zpc Taiwan110527
F20.SI	Federal Int(2000) Ltd
F22.SI	Fischer Tech Ltd
F25U.SI	Fortune Real Estate Inv Trust
F2X.SI	China Taisan Tech Grp Hldgsltd
F31.SI	Fragrance Group Limited
F34.SI	Wilmar International Limited
F3EU.SI	Indiabulls Properties Invtrust
F3RW.SI	Osim International W110623
F3V.SI	Sino Construction Limited
F4B.SI	Ocbc Bk 5.1%ncps 100
F4I.SI	Combine Will Intl Hldgs Ltd
F6CW.SI	Viz Branz Limited W110630
F6D.SI	China Fibretech Ltd.
F6Z.SI	Heng Long International Ltd.
F75.SI	Contel Corporation Limited
F83.SI	Cosco Corporation (s) Ltd
F86.SI	Cougar Logistics Corpn Ltd
F99.SI	Fraser And Neave, Limited
F9D.SI	Boustead Singapore Limited
F9M.SI	Kencana Agri Limited
FA0W.SI	Rbs Zpc Farmers110223
FA4W.SI	Mer Zpc Cwater110331
FA5W.SI	Mer Zpc Cbrand110331
FA6W.SI	Mer Zpc Cs-shr110331
FA7W.SI	Mer Zpc Ch-shr110331
FC6.SI	Lyxor India Nifty Etf 10
FM8W.SI	Rbs Zpc Ricienh110228
FM9W.SI	Rbs Zpc Riciagr110228
FO7W.SI	Union Steel W110414
FO8.SI	Eratat Lifestyle Limited
FP1.SI	Dapai Intl Hldg Co. Ltd.
FQ7.SI	Jasper Investments Limited
FQ8.SI	China Sports Intl Limited
FV2.SI	Hisaka Holdings Ltd.
G03.SI	Brothers (holdings) Limited
G05.SI	Goodpack Limited
G07.SI	Great Eastern Hldgs Ltd
G08.SI	Gp Batteries Int Ltd
G09.SI	Gul Technologies Singapore Ltd
G0I.SI	Nam Lee Pressed Metal Inds Ltd
G10.SI	Yuexiu Property Co Limited
G11.SI	Global Tech (hldgs) Limited
G13.SI	Genting Singapore Plc
G18.SI	Grp Ltd
G1K.SI	Lyxor Etf Msci Asia Apex 50 10
G1M.SI	Lyxor Etf Msci Malaysia 10
G1N.SI	Lyxor Etf Msci India 10
G1O.SI	Lyxor Commodities Crbnonenergy
G20.SI	Gp Industries Limited
G21.SI	Guangzhao Ind Forest Biogrpltd
G31.SI	Global Testing Corporation Ltd
G33.SI	Guthrie Gts Ltd
G3B.SI	Dbs Singapore Sti Etf
G41.SI	G. K. Goh Holdings Limited
G4F.SI	Otto Marine Limited
G50.SI	Grand Banks Yachts Limited
G54.SI	China Essence Group Ltd.
G5X.SI	Anwell Technologies Limited
G6AW.SI	Nextgen Satellite Comm W111222
G77.SI	Digiland International Ltd
G86.SI	China Milk Products Group Ltd
G8LW.SI	Swing Media Technology W140106
